"","Dtotal","AvgPrice"
"1",220186.620842857,9.0995647714819
"2",205793.661614286,8.35055521146616
"3",221582.191914286,9.0413558396173
"4",204634.4272,8.7336171739979
"5",204712.592842857,9.2836837069987
"6",193609.086085714,9.28239634510366
"7",209623.508714286,9.12128518154392
"8",234622.361214286,8.39039176921598
"9",211994.147571429,8.6482003944522
"10",220768.6864,9.03981628687531
"11",212466.746157143,8.92877174801542
"12",226879.022485714,9.0160249057947
"13",224782.385242857,8.91538460454275
"14",203760.636671429,8.24864884709083
"15",227842.498542857,9.28242091951874
"16",207398.318885714,8.31443940892824
"17",215305.844942857,8.59320555468088
"18",201507.497571429,8.607386468788
"19",185352.855,8.84437639770998
"20",233113.731457143,7.61344758721808
"21",192817.784085714,8.3041608500943
"22",204392.495385714,8.8486796176732
"23",200454.591257143,8.75473193607498
"24",216084.146828571,8.44050278593793
"25",200942.473142857,8.45527876507667
"26",197782.505828571,7.89570477116222
"27",226387.672328571,8.22049607571679
"28",207974.403728571,8.71894766183797
"29",217374.9639,8.89468368112541
"30",231689.173485714,8.56426747156301
"31",206889.277828571,9.14702274940614
"32",256263.604942857,7.90593395282648
"33",227711.656328571,7.74222250217683
"34",210954.4894,8.8047964301861
"35",202964.087371429,8.74896791446697
"36",218872.625271429,9.09374380317239
"37",226186.170842857,8.50998303456755
"38",206746.463785714,8.50961706833721
"39",250815.730557143,8.56289225622925
"40",227389.651971429,8.1064543965937
"41",226411.547771429,8.71334287130111
"42",211866.057442857,8.60462612831341
"43",214874.8206,8.95385956756616
"44",273835.219542857,7.88922125254275
"45",218252.734771429,8.21153116179109
"46",223315.285742857,8.83718207946522
"47",215810.168071429,8.69236357869188
"48",229652.328714286,8.69491689528137
"49",259252.462042857,8.5353858774552
"50",218410.259885714,7.57814648402166
"51",229747.326328571,8.78990954874818
"52",220353.697457143,8.45031376548685
"53",231574.268614286,8.51780011105606
"54",214705.680571429,8.10597008201182
"55",216258.807714286,8.89811564917232
"56",285055.013485714,7.63805205365094
"57",219199.341542857,8.24892618847526
"58",223906.858785714,8.68803569307426
"59",212048.918914286,8.39107255121065
"60",238321.901528571,8.22951684312235
"61",257581.9077,7.99575475355932
"62",208775.4115,7.72127211664903
"63",239508.842628571,9.05531880926971
"64",222498.168514286,8.55819622646576
"65",243569.768842857,8.62492230064349
"66",216020.661057143,8.86567282901155
"67",223789.365314286,8.7091370464662
"68",276088.787271429,8.38587286810496
"69",226278.9897,8.83948891926968
"70",248008.402457143,8.89177067572779
"71",214078.015585714,8.96806540136232
"72",234787.986971429,8.9047786090512
"73",267943.126771429,8.82087736123141
"74",223835.885628571,8.29609362349073
"75",251609.5885,9.37315453112504
"76",224909.792085714,9.0587968415872
"77",240679.900771429,8.84229942898875
"78",218834.458828571,8.61774269511036
"79",243511.218828571,9.11632107249147
"80",306312.659842857,8.8574561359571
"81",263884.513442857,8.97082055144932
"82",266819.513842857,9.31491011968911
"83",274402.705228571,8.72251659739306
"84",280119.357914286,9.19230560049278
"85",312609.555714286,8.83615712281136
"86",256900.842,8.4593653242297
"87",251318.3399,10.2930368022215
"88",246714.3542,10.0494516400054
"89",250887.329828571,10.0505349933545
"90",237931.173071429,10.3152947478766
"91",276192.129085714,11.0215969377216
"92",273413.437314286,9.98034322213134
"93",303850.192957143,10.0438049728867
"94",273053.173314286,10.5857482828729
"95",249582.375828571,9.93610539988081
"96",263714.767971429,10.07566363627
"97",264520.409742857,10.1534893252319
"98",221710.776742857,9.4541505697149
"99",279891.071528571,10.673723382042
"100",261479.780014286,10.0210428351514
"101",254484.1739,9.82665227656671
"102",255849.634985714,9.97349836851776
"103",294242.1132,9.93855106519436
"104",310416.129985714,10.0964011563214
"105",250740.571957143,10.0856748156578
"106",266688.530185714,10.5339392759877
"107",255953.545042857,9.49797107065856
"108",273773.940657143,10.625815206124
"109",314632.442885714,10.2342309722801
"110",251012.3808,8.94585411952721
"111",288154.245142857,10.4405679798423
"112",254992.4314,9.6974466328192
"113",265860.770557143,10.4386134510135
"114",247087.162257143,10.2971795079544
"115",250463.597142857,10.3563830459506
"116",264406.238328571,9.68202293393118
"117",241120.183942857,10.0659422173777
"118",229975.311528571,9.8077215628372
"119",216042.462757143,10.1084259004273
"120",219512.906385714,10.8150397844267
"121",252619.168214286,10.2794609265726
"122",214155.991428571,8.79932662055217
"123",253857.150157143,10.2855227135787
"124",219338.028385714,10.5102236121783
"125",218145.254957143,10.5742803912557
"126",214463.085614286,9.66077849418879
"127",203594.9293,10.8193616435991
"128",230720.4968,10.3933210870211
"129",225365.848271429,10.4537950116968
"130",233852.264271429,10.7915011614859
"131",206895.925014286,10.5853306238047
"132",181889.542242857,10.9440756524378
